season,voting_method,week,eliminated,n_survivors,is_consistent,acceptance_rate,method,fan_votes_mean,survivor_names
1,rank,1,None (No Elimination),6,True,1.0,prior_only (no elim),"[0.15512660698321556, 0.30853787167767444, 0.19646617123291468, 0.06857930721867564, 0.1863282086150669, 0.08496183427245263]","[""John O'Hurley"", 'Kelly Monaco', 'Evander Holyfield', 'Rachel Hunter', 'Joey McIntyre', 'Trista Sutter']"
1,rank,2,Trista Sutter,6,True,0.6804736842105263,mcmc_smooth,"[0.16118570949574715, 0.2963155826357706, 0.2036396607011947, 0.07373540584236137, 0.18322425720486873, 0.0818993841200574]","[""John O'Hurley"", 'Kelly Monaco', 'Evander Holyfield', 'Rachel Hunter', 'Joey McIntyre', 'Trista Sutter']"
1,rank,3,Evander Holyfield,5,True,0.8083684210526316,mcmc_smooth,"[0.16559666232853193, 0.33527844884947755, 0.24815932848396743, 0.05791557514124422, 0.19304998519677888]","[""John O'Hurley"", 'Kelly Monaco', 'Evander Holyfield', 'Rachel Hunter', 'Joey McIntyre']"
1,rank,4,Rachel Hunter,4,True,0.7198631578947369,mcmc_smooth,"[0.3043252207174672, 0.30209260390675086, 0.07264508674981764, 0.3209370886259642]","[""John O'Hurley"", 'Kelly Monaco', 'Rachel Hunter', 'Joey McIntyre']"
1,rank,5,None (No Elimination),3,True,1.0,smooth_projection (no elim),"[0.328164779599724, 0.3257572689704963, 0.3460779514297798]","[""John O'Hurley"", 'Kelly Monaco', 'Joey McIntyre']"
1,rank,6,"Finale: Kelly Monaco, John O'Hurley",2,True,0.8536,mcmc_finale,"[0.5018226591017326, 0.4981773408982674]","[""John O'Hurley"", 'Kelly Monaco']"
2,rank,1,Kenny Mayne,10,True,0.6979052631578947,mcmc_prior,"[0.0026264535436736737, 0.08779479207668989, 0.0651067220124465, 0.11178854225958376, 0.0209897383567431, 0.2208549441854326, 0.09114281210626063, 0.28079157406098, 0.08250953525256823, 0.03639488614562173]","[""Tatum O'Neal"", 'Tia Carrere', 'George Hamilton', 'Lisa Rinna', 'Stacy Keibler', 'Jerry Rice', 'Giselle Fernandez', 'Master P', 'Drew Lachey', 'Kenny Mayne']"
2,rank,2,Tatum O'Neal,9,True,0.7376315789473684,mcmc_smooth,"[0.0016964684461836684, 0.0633184911377139, 0.0653843946620605, 0.13039583311053116, 0.004373322710477734, 0.22614142458807246, 0.0915579475396814, 0.32683312080039145, 0.0902989970048876]","[""Tatum O'Neal"", 'Tia Carrere', 'George Hamilton', 'Lisa Rinna', 'Stacy Keibler', 'Jerry Rice', 'Giselle Fernandez', 'Master P', 'Drew Lachey']"
2,rank,3,Giselle Fernandez,8,True,0.6731789473684211,mcmc_smooth,"[0.058495978945713956, 0.06789005066472603, 0.09315660994721217, 0.001294606749809631, 0.202760783640613, 0.054688056444715895, 0.35652778847210626, 0.16518612513510308]","['Tia Carrere', 'George Hamilton', 'Lisa Rinna', 'Stacy Keibler', 'Jerry Rice', 'Giselle Fernandez', 'Master P', 'Drew Lachey']"
2,rank,4,Master P,7,True,0.7684736842105263,mcmc_smooth,"[0.10899310993423116, 0.17415593072623956, 0.05086964808990879, 0.023449279484900793, 0.2447874613451205, 0.16683658135534488, 0.23090798906425425]","['Tia Carrere', 'George Hamilton', 'Lisa Rinna', 'Stacy Keibler', 'Jerry Rice', 'Master P', 'Drew Lachey']"
